"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","HTTP","",""
"pre_128cipher","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.mes-aides.gouv.fr/5.104.101.30","443","OK","not offered","",""
"SSLv3","www.mes-aides.gouv.fr/5.104.101.30","443","OK","not offered","",""
"TLS1","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"TLS1_1","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"TLS1_2","www.mes-aides.gouv.fr/5.104.101.30","443","OK","offered","",""
"TLS1_3","www.mes-aides.gouv.fr/5.104.101.30","443","OK","offered with final","",""
"NPN","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"ALPN_HTTP2","www.mes-aides.gouv.fr/5.104.101.30","443","OK","h2","",""
"ALPN","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","http/1.1","",""
"cipherlist_NULL","www.mes-aides.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.mes-aides.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.mes-aides.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.mes-aides.gouv.fr/5.104.101.30","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.mes-aides.gouv.fr/5.104.101.30","443","OK","offered","",""
"cipher_order-tls1_2","www.mes-aides.gouv.fr/5.104.101.30","443","OK","server","",""
"cipher-tls1_2_xc030","www.mes-aides.gouv.fr/5.104.101.30","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","www.mes-aides.gouv.fr/5.104.101.30","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","www.mes-aides.gouv.fr/5.104.101.30","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_2","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order-tls1_3","www.mes-aides.gouv.fr/5.104.101.30","443","OK","server","",""
"cipher-tls1_3_x1302","www.mes-aides.gouv.fr/5.104.101.30","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","www.mes-aides.gouv.fr/5.104.101.30","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipher-tls1_3_x1301","www.mes-aides.gouv.fr/5.104.101.30","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipherorder_TLSv1_3","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 TLS_AES_128_GCM_SHA256","",""
"prioritize_chacha_TLSv1_3","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","false","",""
"cipher_order","www.mes-aides.gouv.fr/5.104.101.30","443","OK","server","",""
"FS","www.mes-aides.gouv.fr/5.104.101.30","443","OK","offered","",""
"FS_ciphers","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256","",""
"FS_ECDHE_curves","www.mes-aides.gouv.fr/5.104.101.30","443","OK","prime256v1 secp384r1 secp521r1 X25519 X448","",""
"DH_groups","www.mes-aides.gouv.fr/5.104.101.30","443","OK","ffdhe2048 ffdhe3072 ffdhe4096 ffdhe6144 ffdhe8192","",""
"FS_TLS12_sig_algs","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512 RSA+SHA256 RSA+SHA384 RSA+SHA512 RSA+SHA224","",""
"FS_TLS13_sig_algs","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","",""
"TLS_extensions","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","'server name/#0' 'max fragment length/#1' 'supported_groups/#10' 'EC point formats/#11' 'application layer protocol negotiation/#16' 'extended master secret/#23' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'renegotiation info/#65281'","",""
"TLS_session_ticket","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","yes","",""
"sessionresumption_ticket","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","not supported","",""
"sessionresumption_ID","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","not supported","",""
"TLS_timestamp","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","random","",""
"certificate_compression","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","none","",""
"clientAuth","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","none","",""
"cert_numbers","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","1","",""
"cert_signatureAlgorithm","www.mes-aides.gouv.fr/5.104.101.30","443","OK","SHA256 with RSA","",""
"cert_keySize","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","0613ED38CA3E58302F366352169A46E95990","",""
"cert_serialNumberLen","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","18","",""
"cert_fingerprintSHA1","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","E51C7C45145A17D011246871545F20B133116D15","",""
"cert_fingerprintSHA256","www.mes-aides.gouv.fr/5.104.101.30","443","INFO","759C6434890342BE74C1A400FF48685CE1333D2552D42381F22FD51D95070AA9","",""
